t s magnitude
  0   1 -16.26069039806847627005
  1   1 -17.28575303224036474603
  2   1 -16.41255991262545776976
  3   1 -16.54257595811457548507
  4   1 -16.06599481481420710338
  5   1 -16.28385570876356780445
  6   1 -16.45947316457844422644
  7   1 -16.56791690318388887704
  8   1 -16.88972323889215587656
  9   1 -16.44570665003482545785
 10   1 -16.32992782183553259756
 11   1 -16.02341952871855923490
 12   1 -16.53395524704417951511
 13   1 -16.42086814753096746244
 14   1 -16.51102489359215752529
 15   1 -16.25477843417377954438
 16   1 -16.78005351891739849179
 17   1 -16.43558021198069241109
 18   1 -16.29061478816972652339
 19   1 -16.33443275374085956742
 20   1 -16.74393156556265793711
 21   1 -16.67001380377935504384
 22   1 -16.59949173762317187197
 23   1 -16.69202007942191556822
 24   1 -16.76546665362791088683
 25   1 -16.33153343417022895778
 26   1 -16.22457427354964920596
 27   1 -16.98107578692805574860
 28   1 -16.20256033903065784330
 29   1 -16.00073147016859209657
 30   1 -16.26965643389892335335
 31   1 -16.55113297289191010009
 32   1 -16.21046437584962163214
 33   1 -16.65360575507038731757
 34   1 -16.21205854116618638727
 35   1 -16.28926260853738838819
 36   1 -16.22955976751044460116
 37   1 -16.43301455974160418805
 38   1 -16.10074659953029652115
 39   1 -16.61958844356882636362
 40   1 -16.24835332225838513409
 41   1 -16.40017520853550792026
 42   1 -16.04386593329337884484
 43   1 -16.23831397659835573677
 44   1 -16.88477214010438842706
 45   1 -16.52593928489380203928
 46   1 -16.56334900122550379820
 47   1 -16.33343712568579420008
 48   1 -17.01753086062565145653
 49   1 -16.50480220066620162811
 50   1 -16.79342495488182152030
 51   1 -17.18619802126184836766
 52   1 -17.75859722870136891970
 53   1 -16.56092082513799113030
 54   1 -16.62440132538196024825
 55   1 -16.43094082787996157435
 56   1 -16.46585143538476714298
 57   1 -16.63523527035253835038
 58   1 -16.58314368557050499930
 59   1 -16.32954974911821466321
 60   1 -16.54511384690365360939
 61   1 -17.35869498283715728348
 62   1 -16.87369476892931530188
 63   1 -16.09961954020679897326
 64   1 -18.16457026072600200450
 65   1 -16.30953872503872403854
 66   1 -16.85819848057519010354
 67   1 -16.08461278159620988504
 68   1 -16.43307235725235670998
 69   1 -16.45154602949156341651
 70   1 -16.20238135180195371277
 71   1 -18.39508753171428878659
 72   1 -17.61016755710879877483
 73   1 -16.13033025459430547244
 74   1 -16.38396318168485876754
 75   1 -16.14353761330861303236
 76   1 -16.24252270031486489188
 77   1 -16.24398862618014405257
 78   1 -16.43278493705970433325
 79   1 -17.10612130186831691958
 80   1 -16.34749454667387169593
 81   1 -16.44461764278078774737
 82   1 -16.00449725400037692680
 83   1 -16.76409409897046387528
 84   1 -16.09967259950352413966
 85   1 -16.52511584061054250583
 86   1 -16.28949328804504759205
 87   1 -16.64334977414576499655
 88   1 -16.21284961967759485901
 89   1 -17.46202768622011447519
 90   1 -16.06469479029660973879
 91   1 -16.84143184808057114310
 92   1 -16.48665564868222688233
 93   1 -17.33356742289274521340
 94   1 -16.80284356191267036706
 95   1 -16.45647147032743262685
 96   1 -16.24168557648839339436
 97   1 -17.58188282945079450315
 98   1 -16.13943321213979587014
 99   1 -16.23684272269739281569
100   1 -17.02107976665549671225
